Nhóm chức năng,Chức năng,Câu hỏi mẫu,Yêu cầu dữ liệu,Contex phụ
,,PM2.5 nguy hiểm như thế nào ?,"Giải thích về các chất ô nhiễm (PM2.5, PM10, O3...)",
,,Triệu chứng nào cần đi khám bác sĩ ?,Dấu hiệu cảnh báo nguy hiểm ,
Nhóm thông tin hệ thống,Về HanoiAir,HanoiAir là gì ?,"Giới thiệu HanoiAir (lưới 1km^2, vệ tinh + mô hình + trạm đo)",
,,Dữ liệu HanoiAir lấy từ đâu ?,"Tần suất cập nhật (hằng ngày, theo giờ cho trạm đo)",
,,Độ phân giải 1Km^2 có nghĩa là gì ?,Phạm vi phủ sóng (Hà Nội + vùng lân cận),
,,Cập nhật dữ liệu bao lâu một lần ?,Ưu điểm so với trạm đo thông thường,
,,Hanoi Air khác gì với các trạm quan trắc thông thường ?,,
,Về chỉ số AQI,AQI là gì ?,Định nghĩa AQI (Air Quality Index),
,,AQI tính như thế nào ?,"Công thức tính (dựa trên 6 chất: PM2.5, PM10, O3, NO2, SO2, CO)",
,,PM2.5 khác gì PM10 ?,Phân loại màu sắc và ý nghĩa,
,,AQI Việt Nam có khác Mỹ không ?,,
,Cách sử dụng dữ liệu ,Làm sao để xem bản đồ chi tiết ?,Hướng dẫn truy cập website/app,
,,Tôi có thể tải dữ liệu về không ?,"Tính năng sẵn có (bản đồ, biểu đồ, thông báo...)",
,,Có API cho developer không ?,Khả năng tải dữ liệu / API,
,,Dữ liệu lịch sử có bao xa ?,Kho dữ liệu lịch sử,
Nhóm hành động và giải pháp,Hành động cá nhân ,Tôi có thể làm gì để bảo vệ bản thân ?,"Danh sách thiết bị (máy lọc không khí, khẩu trang N95/N99)",
,,Nên mua thiết bị gì để lọc không khí ?,"Thói quen tốt (đóng của giờ cao điểm, tập trong nhà ....)",
,,Trồng cây trong nhà có giúp ích không ?,Cây trồng hữu ích,
,,Nên chọn nhà ở khu vực nào để tránh gây ô nhiễm ?,Tiêu chí chọn khu vực ở,
,Hành động cộng đồng,Làm thế nào để giảm ô nhiễm Hà Nội ?,"Giải pháp cá nhân (giảm xe máy, không đốt rác....)",
,,Tôi có thể đóng góp gì cho không khí sạch ?,Chính sách hiện tại ,
,,Chính quyền đang làm gì với vấn đề này ?,Các sáng kiến cộng đồng ,
Nhóm câu hỏi đặc biệt ,Cảnh báo & khẩn cấp,Có cảnh báo ô nhiễm đặc biệt không ?,Hệ thống cảnh báo (vàng / cam / đỏ),
,,Khi nào cần sơ tán / ở trong nhà hoàn toàn ?,"Ngưỡng khẩn cấp (>200, >300)",
,,AQI > 300 có nguy hiểm đến tính mạng không ?,Hướng dẫn ứng phó khẩn cấp ,
,Sự kiện đặc biệt ,Có nên tổ chứ marathon/concert ngoài tròi không ?,"Dự báo chi tiết cho ngày, giờ cụ thể",
,,Trường học có nên cho học sinh ra chơi không ?,Khuyến cao cho sự kiện quy mô lớn,
,,Đám cưới ngoài tròi vào ngày mai có ổn không ?,Dự án phòng,
,Câu hỏi phức tạp (multi - factor),"Tôi ở Thanh Trì, con 5 tuổi, mai muốn đi công viên Yên Sở, có nên không ?","Tích hợp nhiều yếu tố (địa điểm AQI cụ thể, nhóm đối tượng, khuyến cáo riêng, thời gian dự báo, hoạt động (mức độ gắng sức)",
,,"Bố tôi 70 tuổi, bệnh tim, đang ở Hoàng Mai, tuần sau có ngày nào phù hợp đi bộ",,
,,"Khu Hồ Tây so với Mỹ Đình, nơi nào tốt hơn cho người chạy marathon?",Khuyến cáo tổng hợp ,
,,,Phương án thay thế,
